Regional Office,Industrial Area,Total Plots Available,Current Rate (Rs/sq meter)
RO Akola,Lonar (Mini),3,200
RO Chandrapur,Chimur (Mini),1,200
RO Chandrapur,Gadchiroli,2,200
RO NAGPUR,Kurkheda,1,200
RO AMRAVATI,Dharni (Mini),1,220
RO Chandrapur,Rajura (Mini),3,220
RO Satara,Patan,4,220
RO Chandrapur,Warora,1,250
RO Chandrapur,Bhadravati (Mini),2,250
RO Chhatrapati Sambhajinagar,Ambad (Mini),1,250
RO DHULE,Nardana Ph-2,4,250
RO Jalgaon,Chalisgaon,10,250
RO LATUR,Kalamb (Mini),1,250
RO NAGPUR,Bhivapur (Mini),1,250
RO NAGPUR,Lakhandur,1,250
RO NAGPUR,Nagbhid,2,250
RO NANDED,Kinwat,2,250
RO NANDED,Jintur,10,250
RO AMRAVATI,Addl. Amravati (Textile Park),7,290
RO Akola,Murtizapur,2,300
RO Akola,Washim,2,300
RO AMRAVATI,Chandur Railway (Mini),1,300
RO AMRAVATI,Warud (Mini),2,300
RO AMRAVATI,Pusad,12,300
RO LATUR,Umarga,1,300
RO NAGPUR,Katol,1,310
RO Akola,Malakapur,1,350
RO NANDED,Krushnur (Central Goverment Growth Center),3,350
RO AMRAVATI,Addl. Yavatmal,7,400
RO Chandrapur,Deoli,1,400
RO Jalgaon,Bhusaval,15,400
RO Solapur,Kurduwadi,1,400
RO RATNAGIRI,Kherdi-Chiplun,1,410
RO SANGLI ,Shirala,2,440
RO DHULE,Addl. Nandurbar (Bhaler),40,450
RO AMRAVATI,Addl. Amravati (Nandgaon Peth),16,484
RO NAGPUR,Umred,9,500
RO Chandrapur,Wardha,5,510
RO Chandrapur,Chandrapur Tadali (Central Government Growth Center),8,510
RO Baramati,Indapur,1,550
RO Chandrapur,Addl. Chandrapur ,1,550
RO Solapur,Chincholi,9,550
RO Satara,Wai,3,600
RO Satara,Lonand,4,600
RO Solapur,Barshi,1,650
RO Ahilyanagar,Shrirampur,14,740
RO PANVEL,Vile-Bhagad,1,760
RO Ahilyanagar,Newasa,1,850
RO RATNAGIRI,Addl. Lote-Parshuram,1,850
RO SANGLI ,Shalgaon-Bombalewadi,4,850
RO Akola,Akola (Central Goverment Growth Center),44,900
RO Satara,Phaltan,13,1060
RO NASHIK,Malegaon (Ajang-Ravalgaon),5,1580
RO NAGPUR,Butibori IT Park,1,1755
RO NAGPUR,Addl. Butibori,1,2000
RO NAGPUR,Butibori Ph-2,7,2000
RO Baramati,Baramati Ph-2,1,2180
RO Satara,Khandala Ph-1,1,2300
RO Chhatrapati Sambhajinagar,Shendra Five Star,1,2730
RO NASHIK,Addl. Dindori,5,3000
RO PUNE-II,Ranjangaon,3,3110
RO PUNE-II (IT),Ranjangaon,3,3110
RO PANVEL,Addl. Patalganga,214,4840
RO PUNE-I,Talegaon Ph-2,11,5730
RO PUNE-I,Chakan Ph-3,1,5780
RO PANVEL,Patalganga Borivali,1,7630
RO THANE-II,Addl. Ambernath Jambhivali Ph-4,9,7890
