Regional Office,Industrial Area,Total Plots Available,Current Rate (Rs/sq meter),Sheet_Name
RO Ahilyanagar,Shirdi,45,1700.0,Commercial 1
RO Ahilyanagar,Supa Parner Industrial Park,23,4600.0,Commercial 1
RO Ahilyanagar,Newasa,14,1700.0,Commercial 1
RO Ahilyanagar,Shrirampur,7,1480.0,Commercial 1
RO Ahilyanagar,Supa Parner,1,2950.0,Commercial 1
RO Ahilyanagar,Ahilyanagar,0,5330.0,Commercial 1
RO Ahilyanagar,Rahuri,0,1100.0,Commercial 1
RO Ahilyanagar,Addl. Ahilyanagar,0,4840.0,Commercial 1
RO Akola,Akola (Central Goverment Growth Center),26,1800.0,Commercial 1
RO Akola,Malakapur,23,700.0,Commercial 1
RO Akola,Khamgaon,11,720.0,Commercial 1
RO Akola,Telhara (Mini),2,600.0,Commercial 1
RO Akola,Murtizapur,1,600.0,Commercial 1
RO Akola,Washim,1,600.0,Commercial 1
RO Akola,Malegaon (Mini),1,600.0,Commercial 1
RO Akola,Lonar (Mini),1,400.0,Commercial 1
RO Akola,Chikhali,1,600.0,Commercial 1
RO Akola,Akot (Mini),0,600.0,Commercial 1
RO Akola,Risod (Mini),0,600.0,Commercial 1
RO Akola,Manora (Mini),0,600.0,Commercial 1
RO Akola,Mangalurpir (Mini),0,600.0,Commercial 1
RO Akola,Buldhana (Mini),0,600.0,Commercial 1
RO Akola,Mehekar (Mini),0,600.0,Commercial 1
RO Akola,Sangrampur (Mini),0,600.0,Commercial 1
RO Akola,Deoulgaon Raja (Mini),0,600.0,Commercial 1
RO Akola,Akola,0,1800.0,Commercial 1
RO Akola,Balapur (Mini),0,600.0,Commercial 1
RO Akola,Patur (Mini),0,600.0,Commercial 1
RO AMRAVATI,Addl. Amravati (Nandgaon Peth),16,970.0,Commercial 1
RO AMRAVATI,Amravati,12,2110.0,Commercial 1
RO AMRAVATI,Nandgaon-Khandeshwar (Mini),6,600.0,Commercial 1
RO AMRAVATI,Addl. Yavatmal,5,400.0,Commercial 1
RO AMRAVATI,Daryapur (Mini),4,600.0,Commercial 1
RO AMRAVATI,Pusad,3,400.0,Commercial 1
RO AMRAVATI,Maregaon (Mini),3,400.0,Commercial 1
RO AMRAVATI,Addl. Amravati (Textile Park),3,570.0,Commercial 1
RO AMRAVATI,Mahagaon (Mini),2,400.0,Commercial 1
RO AMRAVATI,Kalamb (Mini),2,400.0,Commercial 1
RO AMRAVATI,Yavatmal,1,400.0,Commercial 1
RO AMRAVATI,Chandur Railway (Mini),1,600.0,Commercial 1
RO AMRAVATI,Wani,0,400.0,Commercial 1
RO AMRAVATI,Darwha (Mini),0,600.0,Commercial 1
RO AMRAVATI,Digras (Mini),0,400.0,Commercial 1
RO AMRAVATI,Ghatanji (Mini),0,400.0,Commercial 1
RO AMRAVATI,Umarkhed (Mini),0,400.0,Commercial 1
RO AMRAVATI,Kelapur Pandharkawada,0,,Commercial 1
RO AMRAVATI,Morshi (Mini),0,600.0,Commercial 1
RO AMRAVATI,Tiwasa (Mini),0,600.0,Commercial 1
RO AMRAVATI,Dharni (Mini),0,440.0,Commercial 1
RO AMRAVATI,Achalpur,0,600.0,Commercial 1
RO AMRAVATI,Dhamangaon,0,600.0,Commercial 1
RO AMRAVATI,Warud (Mini),0,600.0,Commercial 1
RO AMRAVATI,Bhatkuli (Mini),0,600.0,Commercial 1
RO AMRAVATI,Anjangaon (Mini),0,600.0,Commercial 1
RO AMRAVATI,Barshi Takli (Mini),0,,Commercial 1
RO Baramati,Indapur,19,1060.0,Commercial 1
RO Baramati,Baramati Ph-2,12,4350.0,Commercial 1
RO Baramati,Baramati,2,3290.0,Commercial 1
RO Baramati,Kurkumbh,1,2730.0,Commercial 1
RO Baramati,Addl. Kurkumbh (Patas),0,,Commercial 1
RO Baramati,Bhigwan,0,50.0,Commercial 1
RO Baramati,Pandare,0,880.0,Commercial 1
RO Baramati,Jejuri,0,2210.0,Commercial 1
RO Baramati,Addl. Jejuri,0,2210.0,Commercial 1
RO Chandrapur,Chandrapur Tadali (Central Government Growth Center),10,770.0,Commercial 1
RO Chandrapur,Wardha,4,1010.0,Commercial 1
RO Chandrapur,Chandrapur,4,1100.0,Commercial 1
RO Chandrapur,Deoli,2,790.0,Commercial 1
RO Chandrapur,Sindewahi (Mini),1,500.0,Commercial 1
RO Chandrapur,Mul,1,500.0,Commercial 1
RO Chandrapur,Karanja (Mini),1,600.0,Commercial 1
RO Chandrapur,Addl. Chandrapur ,1,1100.0,Commercial 1
RO Chandrapur,Bhadravati (Major),0,600.0,Commercial 1
RO Chandrapur,Bhadravati (Mini),0,490.0,Commercial 1
RO Chandrapur,Chimur (Mini),0,500.0,Commercial 1
RO Chandrapur,Rajura (Mini),0,440.0,Commercial 1
RO Chandrapur,Gondpimpri (Mini),0,460.0,Commercial 1
RO Chandrapur,Warora,0,500.0,Commercial 1
RO Chandrapur,Gadchiroli,0,400.0,Commercial 1
RO Chandrapur,Aheri (Mini),0,400.0,Commercial 1
RO Chandrapur,Hinganghat (Mini),0,600.0,Commercial 1
RO Chandrapur,Samudrapur (Mini),0,600.0,Commercial 1
RO Chandrapur,Ghugus,0,600.0,Commercial 1
RO Chandrapur,Chamorshi,0,,Commercial 1
RO Chhatrapati Sambhajinagar,Majalgaon,8,1040.0,Commercial 1
RO Chhatrapati Sambhajinagar,Jaypur,4,7560.0,Commercial 1
RO Chhatrapati Sambhajinagar,Addl. Jalna Ph-2,3,1700.0,Commercial 1
RO Chhatrapati Sambhajinagar,Ambad (Mini),2,500.0,Commercial 1
RO Chhatrapati Sambhajinagar,Addl. Jalna Ph-3,2,2040.0,Commercial 1
RO Chhatrapati Sambhajinagar,Chikalthana,1,6790.0,Commercial 1
RO Chhatrapati Sambhajinagar,Shendra Five Star,1,5970.0,Commercial 1
RO Chhatrapati Sambhajinagar,Sillod,0,,Commercial 1
RO Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar (Estate),0,4960.0,Commercial 1
RO Chhatrapati Sambhajinagar,Waluj,0,6780.0,Commercial 1
RO Chhatrapati Sambhajinagar,Vaijapur,0,2860.0,Commercial 1
RO Chhatrapati Sambhajinagar,Khultabad (Mini),0,,Commercial 1
RO Chhatrapati Sambhajinagar,Paithan,0,600.0,Commercial 1
RO Chhatrapati Sambhajinagar,Jalna (Estate),0,2200.0,Commercial 1
RO Chhatrapati Sambhajinagar,Addl. Jalna Ph-1,0,2200.0,Commercial 1
RO Chhatrapati Sambhajinagar,Partur,0,500.0,Commercial 1
RO Chhatrapati Sambhajinagar,Bhokardan,0,500.0,Commercial 2
RO Chhatrapati Sambhajinagar,Jafrabad (Mini),0,500.0,Commercial 2
RO Chhatrapati Sambhajinagar,Beed,0,500.0,Commercial 2
RO Chhatrapati Sambhajinagar,Ashti (Mini),0,500.0,Commercial 2
RO Chhatrapati Sambhajinagar,Patoda (Mini),0,500.0,Commercial 2
RO Chhatrapati Sambhajinagar,Dharur (Mini),0,500.0,Commercial 2
RO Chhatrapati Sambhajinagar,Kannad,0,,Commercial 2
RO Chhatrapati Sambhajinagar,Satana,0,,Commercial 2
RO Chhatrapati Sambhajinagar,Georai,0,,Commercial 2
RO Chhatrapati Sambhajinagar,Jalna Seed Park,0,,Commercial 2
RO Chhatrapati Sambhajinagar,Addl. Shendra,0,,Commercial 2
RO Chhatrapati Sambhajinagar,Ambad,0,,Commercial 2
RO Chhatrapati Sambhajinagar,Shendra (SEZ),0,,Commercial 2
RO DHULE,Nardana Ph-2,40,500.0,Commercial 2
RO DHULE,Addl. Nandurbar (Bhaler),2,900.0,Commercial 2
RO DHULE,Nandurbar (Tokartale),0,,Commercial 2
RO DHULE,Ubharandi,0,,Commercial 2
RO DHULE,Addl. Nardana Ph-3,0,400.0,Commercial 2
RO DHULE,Addl. Navapur,0,400.0,Commercial 2
RO DHULE,Raipur,0,,Commercial 2
RO DHULE,Dhule ,0,1520.0,Commercial 2
RO DHULE,Addl. Dhule ,0,1520.0,Commercial 2
RO DHULE,Nardana Ph-1,0,500.0,Commercial 2
RO DHULE,Shahade (mini),0,,Commercial 2
RO DHULE,Brahmanvel,0,250.0,Commercial 2
RO DHULE,Navapur,0,440.0,Commercial 2
RO Jalgaon,Addl. Jalgaon,61,4540.0,Commercial 2
RO Jalgaon,Chalisgaon,7,520.0,Commercial 2
RO Jalgaon,Bhusaval,5,790.0,Commercial 2
RO Jalgaon,Jalgaon (Estate),1,4540.0,Commercial 2
RO Jalgaon,Jamner,0,,Commercial 2
RO Jalgaon,Chopda,0,,Commercial 2
RO Jalgaon,Bhadgaon,0,,Commercial 2
RO KOLHAPUR,Kagal-Hatkanangale Five Star,24,1960.0,Commercial 2
RO KOLHAPUR,Gadhinglaj,17,1000.0,Commercial 2
RO KOLHAPUR,Halkarni,16,1000.0,Commercial 2
RO KOLHAPUR,Shiroli,6,3900.0,Commercial 2
RO KOLHAPUR,Kolhapur (IT Park),2,,Commercial 2
RO KOLHAPUR,Gokul-Shirgaon,0,4060.0,Commercial 2
RO KOLHAPUR,Ajara,0,800.0,Commercial 2
RO LATUR,Bhoom (Mini),6,500.0,Commercial 2
RO LATUR,Addl. Latur,4,1600.0,Commercial 2
RO LATUR,Ausa,1,500.0,Commercial 2
RO LATUR,Umarga,1,600.0,Commercial 2
RO LATUR,Addl. Latur Ph-1,0,1210.0,Commercial 2
RO LATUR,Kaudgaon Ph-3,0,400.0,Commercial 2
RO LATUR,Latur,0,2000.0,Commercial 2
RO LATUR,Ahmedpur (Mini),0,500.0,Commercial 2
RO LATUR,Nilanga (Mini),0,500.0,Commercial 2
RO LATUR,Dharashiv,0,800.0,Commercial 2
RO LATUR,Addl. Dharashiv,0,800.0,Commercial 2
RO LATUR,Kalamb (Mini),0,500.0,Commercial 2
RO LATUR,Kaudgaon Ph-1,0,600.0,Commercial 2
RO MAHAPE,T.T.C.,1,94160.0,Commercial 2
RO MAHAPE,Aajivali,0,,Commercial 2
RO MAHAPE,TTC(Millennium Business Park),0,94160.0,Commercial 2
RO NAGPUR,Butibori,31,3990.0,Commercial 2
RO NAGPUR,Gondia,12,500.0,Commercial 2
RO NAGPUR,Umred,9,990.0,Commercial 2
RO NAGPUR,Addl. Butibori,8,3990.0,Commercial 2
RO NAGPUR,Pauni (Mini),2,1570.0,Commercial 2
RO NAGPUR,Kurkheda,2,400.0,Commercial 2
RO NAGPUR,Goregaon (Mini),2,500.0,Commercial 2
RO NAGPUR,Saoner,1,500.0,Commercial 2
RO NAGPUR,Narkhed (Mini),1,500.0,Commercial 2
RO NAGPUR,Morgaon Arjuni (Mini),1,520.0,Commercial 2
RO NAGPUR,Addl. Tiroda,0,500.0,Commercial 2
RO NAGPUR,Addl. Katol,0,484.0,Commercial 2
RO NAGPUR,Makardhokda,0,,Commercial 2
RO NAGPUR,Butibori CIDCO,0,3990.0,Commercial 2
