Regional Office,Industrial Area,Total Plots Available,Current Rate (Rs/sq meter),Sheet_Name
RO Ahilyanagar,Supa Parner Industrial Park,874,2300.0,Industrial 1
RO Ahilyanagar,Shirdi,125,850.0,Industrial 1
RO Ahilyanagar,Shrirampur,114,740.0,Industrial 1
RO Ahilyanagar,Newasa,16,850.0,Industrial 1
RO Ahilyanagar,Supa Parner,14,1480.0,Industrial 1
RO Ahilyanagar,Ahilyanagar,1,2670.0,Industrial 1
RO Ahilyanagar,Rahuri,1,550.0,Industrial 1
RO Ahilyanagar,Addl. Ahilyanagar,0,2420.0,Industrial 1
RO Akola,Akola (Central Goverment Growth Center),38,900.0,Industrial 1
RO Akola,Malakapur,29,350.0,Industrial 1
RO Akola,Lonar (Mini),13,200.0,Industrial 1
RO Akola,Deoulgaon Raja (Mini),12,300.0,Industrial 1
RO Akola,Murtizapur,11,300.0,Industrial 1
RO Akola,Washim,10,300.0,Industrial 1
RO Akola,Manora (Mini),9,300.0,Industrial 1
RO Akola,Patur (Mini),7,300.0,Industrial 1
RO Akola,Sangrampur (Mini),4,300.0,Industrial 1
RO Akola,Khamgaon,2,400.0,Industrial 1
RO Akola,Malegaon (Mini),1,300.0,Industrial 1
RO Akola,Buldhana (Mini),1,300.0,Industrial 1
RO Akola,Akot (Mini),0,300.0,Industrial 1
RO Akola,Telhara (Mini),0,300.0,Industrial 1
RO Akola,Risod (Mini),0,300.0,Industrial 1
RO Akola,Mangalurpir (Mini),0,300.0,Industrial 1
RO Akola,Mehekar (Mini),0,300.0,Industrial 1
RO Akola,Chikhali,0,300.0,Industrial 1
RO Akola,Akola,0,900.0,Industrial 1
RO Akola,Balapur (Mini),0,300.0,Industrial 1
RO AMRAVATI,Addl. Amravati (Textile Park),85,290.0,Industrial 1
RO AMRAVATI,Addl. Amravati (Nandgaon Peth),58,484.0,Industrial 1
RO AMRAVATI,Nandgaon-Khandeshwar (Mini),32,300.0,Industrial 1
RO AMRAVATI,Addl. Yavatmal,21,400.0,Industrial 1
RO AMRAVATI,Pusad,17,300.0,Industrial 1
RO AMRAVATI,Achalpur,8,300.0,Industrial 1
RO AMRAVATI,Maregaon (Mini),6,300.0,Industrial 1
RO AMRAVATI,Dharni (Mini),6,220.0,Industrial 1
RO AMRAVATI,Digras (Mini),5,300.0,Industrial 1
RO AMRAVATI,Warud (Mini),5,300.0,Industrial 1
RO AMRAVATI,Dhamangaon,4,300.0,Industrial 1
RO AMRAVATI,Ghatanji (Mini),2,300.0,Industrial 1
RO AMRAVATI,Wani,1,300.0,Industrial 1
RO AMRAVATI,Amravati,1,1060.0,Industrial 1
RO AMRAVATI,Daryapur (Mini),1,300.0,Industrial 1
RO AMRAVATI,Tiwasa (Mini),1,300.0,Industrial 1
RO AMRAVATI,Chandur Railway (Mini),1,300.0,Industrial 1
RO AMRAVATI,Yavatmal,0,400.0,Industrial 1
RO AMRAVATI,Darwha (Mini),0,300.0,Industrial 1
RO AMRAVATI,Mahagaon (Mini),0,300.0,Industrial 1
RO AMRAVATI,Umarkhed (Mini),0,300.0,Industrial 1
RO AMRAVATI,Kalamb (Mini),0,300.0,Industrial 1
RO AMRAVATI,Kelapur Pandharkawada,0,,Industrial 1
RO AMRAVATI,Morshi (Mini),0,300.0,Industrial 1
RO AMRAVATI,Bhatkuli (Mini),0,300.0,Industrial 1
RO AMRAVATI,Anjangaon (Mini),0,300.0,Industrial 1
RO AMRAVATI,Barshi Takli (Mini),0,,Industrial 1
RO Baramati,Baramati Ph-2,52,2180.0,Industrial 1
RO Baramati,Indapur,36,550.0,Industrial 1
RO Baramati,Jejuri,19,940.0,Industrial 1
RO Baramati,Addl. Kurkumbh (Patas),13,1650.0,Industrial 1
RO Baramati,Addl. Jejuri,7,940.0,Industrial 1
RO Baramati,Baramati,5,1060.0,Industrial 1
RO Baramati,Bhigwan,1,400.0,Industrial 1
RO Baramati,Kurkumbh,0,910.0,Industrial 1
RO Baramati,Pandare,0,440.0,Industrial 1
RO Chandrapur,Wardha,59,510.0,Industrial 1
RO Chandrapur,Rajura (Mini),32,220.0,Industrial 1
RO Chandrapur,Chandrapur Tadali (Central Government Growth Center),31,510.0,Industrial 1
RO Chandrapur,Addl. Chandrapur ,14,550.0,Industrial 1
RO Chandrapur,Gondpimpri (Mini),13,230.0,Industrial 1
RO Chandrapur,Bhadravati (Mini),9,250.0,Industrial 1
RO Chandrapur,Warora,9,250.0,Industrial 1
RO Chandrapur,Chimur (Mini),7,200.0,Industrial 1
RO Chandrapur,Chandrapur,6,550.0,Industrial 1
RO Chandrapur,Gadchiroli,5,200.0,Industrial 1
RO Chandrapur,Deoli,3,400.0,Industrial 1
RO Chandrapur,Sindewahi (Mini),1,250.0,Industrial 1
RO Chandrapur,Mul,1,250.0,Industrial 1
RO Chandrapur,Aheri (Mini),1,200.0,Industrial 1
RO Chandrapur,Bhadravati (Major),0,300.0,Industrial 1
RO Chandrapur,Hinganghat (Mini),0,300.0,Industrial 1
RO Chandrapur,Samudrapur (Mini),0,300.0,Industrial 1
RO Chandrapur,Karanja (Mini),0,300.0,Industrial 1
RO Chandrapur,Ghugus,0,300.0,Industrial 1
RO Chandrapur,Chamorshi,0,200.0,Industrial 1
RO Chhatrapati Sambhajinagar,Jaypur,175,3780.0,Industrial 1
RO Chhatrapati Sambhajinagar,Vaijapur,155,1430.0,Industrial 1
RO Chhatrapati Sambhajinagar,Majalgaon,77,520.0,Industrial 1
RO Chhatrapati Sambhajinagar,Addl. Jalna Ph-3,51,1020.0,Industrial 1
RO Chhatrapati Sambhajinagar,Dharur (Mini),20,250.0,Industrial 1
RO Chhatrapati Sambhajinagar,Partur,16,250.0,Industrial 1
RO Chhatrapati Sambhajinagar,Shendra Five Star,10,2730.0,Industrial 1
RO Chhatrapati Sambhajinagar,Ambad (Mini),7,250.0,Industrial 1
RO Chhatrapati Sambhajinagar,Bhokardan,4,250.0,Industrial 1
RO Chhatrapati Sambhajinagar,Paithan,2,300.0,Industrial 1
RO Chhatrapati Sambhajinagar,Jafrabad (Mini),1,250.0,Industrial 1
RO Chhatrapati Sambhajinagar,Patoda (Mini),1,250.0,Industrial 1
RO Chhatrapati Sambhajinagar,Sillod,0,,Industrial 1
RO Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar (Estate),0,2480.0,Industrial 1
RO Chhatrapati Sambhajinagar,Chikalthana,0,3400.0,Industrial 1
RO Chhatrapati Sambhajinagar,Waluj,0,3390.0,Industrial 1
RO Chhatrapati Sambhajinagar,Khultabad (Mini),0,,Industrial 2
RO Chhatrapati Sambhajinagar,Jalna (Estate),0,1100.0,Industrial 2
RO Chhatrapati Sambhajinagar,Addl. Jalna Ph-1,0,1100.0,Industrial 2
RO Chhatrapati Sambhajinagar,Beed,0,250.0,Industrial 2
RO Chhatrapati Sambhajinagar,Ashti (Mini),0,250.0,Industrial 2
RO Chhatrapati Sambhajinagar,Addl. Jalna Ph-2,0,1020.0,Industrial 2
RO Chhatrapati Sambhajinagar,Kannad,0,,Industrial 2
RO Chhatrapati Sambhajinagar,Satana,0,,Industrial 2
RO Chhatrapati Sambhajinagar,Georai,0,,Industrial 2
RO Chhatrapati Sambhajinagar,Jalna Seed Park,0,,Industrial 2
RO Chhatrapati Sambhajinagar,Addl. Shendra,0,,Industrial 2
RO Chhatrapati Sambhajinagar,Ambad,0,,Industrial 2
RO Chhatrapati Sambhajinagar,Shendra (SEZ),0,,Industrial 2
RO DHULE,Addl. Nandurbar (Bhaler),302,450.0,Industrial 2
RO DHULE,Nardana Ph-2,94,250.0,Industrial 2
RO DHULE,Navapur,7,220.0,Industrial 2
RO DHULE,Brahmanvel,6,250.0,Industrial 2
RO DHULE,Addl. Dhule ,2,760.0,Industrial 2
RO DHULE,Nandurbar (Tokartale),1,,Industrial 2
RO DHULE,Addl. Navapur,1,270.0,Industrial 2
RO DHULE,Ubharandi,0,,Industrial 2
RO DHULE,Addl. Nardana Ph-3,0,200.0,Industrial 2
RO DHULE,Raipur,0,,Industrial 2
RO DHULE,Dhule ,0,760.0,Industrial 2
RO DHULE,Nardana Ph-1,0,250.0,Industrial 2
RO DHULE,Shahade (mini),0,,Industrial 2
RO Jalgaon,Bhusaval,293,400.0,Industrial 2
RO Jalgaon,Chalisgaon,123,250.0,Industrial 2
RO Jalgaon,Jamner,9,1190.0,Industrial 2
RO Jalgaon,Jalgaon (Estate),0,2270.0,Industrial 2
RO Jalgaon,Addl. Jalgaon,0,2270.0,Industrial 2
RO Jalgaon,Chopda,0,,Industrial 2
RO Jalgaon,Bhadgaon,0,,Industrial 2
RO KOLHAPUR,Halkarni,87,500.0,Industrial 2
RO KOLHAPUR,Gadhinglaj,76,500.0,Industrial 2
RO KOLHAPUR,Kagal-Hatkanangale Five Star,16,980.0,Industrial 2
RO KOLHAPUR,Gokul-Shirgaon,1,1420.0,Industrial 2
RO KOLHAPUR,Shiroli,0,2080.0,Industrial 2
RO KOLHAPUR,Ajara,0,400.0,Industrial 2
RO KOLHAPUR,Kolhapur (IT Park),0,1210.0,Industrial 2
