Regional Office,Industrial Area,Total Plots Available,Current Rate (Rs/sq meter),Sheet_Name
RO THANE-II,Addl. Ambernath Jambhivali Ph-4,0,11835.0,Resedential 1
RO THANE-II,Addl. Ambernath Pale Ph-3,0,10170.0,Resedential 1
RO THANE-II,Ambernath,0,10170.0,Resedential 1
RO THANE-II,Addl. Ambernath,0,10170.0,Resedential 1
RO THANE-II,Badlapur,0,8800.0,Resedential 1
RO THANE-II,Kalyan-Bhiwandi,0,9680.0,Resedential 1
RO THANE-II,Addl. Kalyan-Bhiwandi,0,9680.0,Resedential 1
RO THANE-II,Murbad,0,3730.0,Resedential 1
RO THANE-II,Addl. Murbad,0,3730.0,Resedential 1
RO THANE-I (IT),Tarapur,3,8560.0,Resedential 1
RO THANE-I (IT),Dombivli,0,40090.0,Resedential 1
RO THANE-I (IT),Thane,0,92270.0,Resedential 1
RO THANE-I (IT),Marol,0,,Resedential 1
RO THANE-I (IT),Dapchari,0,,Resedential 1
RO THANE-I (IT),Mira,0,,Resedential 1
RO THANE-I (IT),Marol (Samruddhi Venture Park),0,,Resedential 1
RO THANE-I,Tarapur,3,8560.0,Resedential 1
RO THANE-I,Mira,0,,Resedential 1
RO THANE-I,Dombivli,0,40090.0,Resedential 1
RO THANE-I,Marol (Samruddhi Venture Park),0,,Resedential 1
RO THANE-I,Dapchari,0,,Resedential 1
RO THANE-I,Marol,0,,Resedential 1
RO THANE-I,Thane,0,92270.0,Resedential 1
RO Solapur,Chincholi,1,820.0,Resedential 1
RO Solapur,Addl. Chincholi,0,,Resedential 1
RO Solapur,Barshi,0,,Resedential 1
RO Solapur,Karmala,0,,Resedential 1
RO Solapur,Solapur,0,150.0,Resedential 1
RO Solapur,Kurduwadi,0,600.0,Resedential 1
RO Solapur,Tembhurni,0,600.0,Resedential 1
RO Solapur,Mangalwedha,0,600.0,Resedential 1
RO Satara,Wai,1,1170.0,Resedential 1
RO Satara,Satara,0,1540.0,Resedential 1
RO Satara,Addl. Satara,0,1540.0,Resedential 1
RO Satara,Karad,0,850.0,Resedential 1
RO Satara,Koregaon,0,530.0,Resedential 1
RO Satara,Mhaswad,0,,Resedential 1
RO Satara,Lonand,0,770.0,Resedential 1
RO Satara,Patan,0,330.0,Resedential 1
RO Satara,Khandala Ph-1,0,,Resedential 1
RO Satara,Kesurdi (Khandala) (SEZ),0,,Resedential 1
RO Satara,Phaltan,0,,Resedential 1
RO Satara,Addl. Phaltan,0,,Resedential 1
RO Satara,Phaltan (SEZ),0,,Resedential 1
RO Satara,Khandala Ph-3,0,,Resedential 1
RO Satara,Khandala Ph-2,0,,Resedential 1
RO Satara,Satara (IT Park),0,,Resedential 1
RO SANGLI ,Sangli-Miraj,3,2260.0,Resedential 1
RO SANGLI ,Islampur,0,960.0,Resedential 1
RO SANGLI ,Palus (Mini),0,,Resedential 1
RO SANGLI ,Kadegaon (Mini),0,370.0,Resedential 1
RO SANGLI ,Addl. Kadegaon-Shivajinagar,0,450.0,Resedential 1
RO SANGLI ,Jath (Mini),0,38.0,Resedential 1
RO SANGLI ,Kavathe-Mahankal,0,100.0,Resedential 1
RO SANGLI ,Shirala,0,,Resedential 1
RO SANGLI ,Vita,0,,Resedential 1
RO SANGLI ,Kavlapur,0,,Resedential 1
RO SANGLI ,Sangli-Kupwad,0,2260.0,Resedential 1
RO SANGLI ,Shalgaon-Bombalewadi,0,,Resedential 1
RO SANGLI ,Addl. Palus (Wine Park),0,,Resedential 1
RO SANGLI ,Sangli (IT Park),0,,Resedential 1
RO SANGLI ,Kasegaon,0,,Resedential 1
RO SANGLI ,Modnimb,0,,Resedential 1
RO RATNAGIRI,Lote-Parshuram ,16,1280.0,Resedential 1
RO RATNAGIRI,Kudal,10,540.0,Resedential 1
RO RATNAGIRI,Dabhol,1,405.0,Resedential 1
RO RATNAGIRI,Kherdi-Chiplun,0,610.0,Resedential 1
RO RATNAGIRI,Gane-Khadpoli,0,920.0,Resedential 1
RO RATNAGIRI,Addl. Lote-Parshuram,0,1280.0,Resedential 1
RO RATNAGIRI,Sadavali,0,23.0,Resedential 1
RO RATNAGIRI,Ratnagiri-Mirjole,0,2010.0,Resedential 1
RO RATNAGIRI,Dapoli,0,23.0,Resedential 1
RO RATNAGIRI,Sangameshwar (Mini),0,,Resedential 1
RO RATNAGIRI,Ratnagiri-Zadgao,0,2010.0,Resedential 1
RO RATNAGIRI,Adali,0,1940.0,Resedential 1
RO PUNE-II (IT),Pimpri-Chinchwad,1,36630.0,Resedential 1
RO PUNE-II (IT),Kharadi Knowledge Park,0,3790.0,Resedential 1
RO PUNE-II (IT),Rajiv Gandhi Infotech Park (Hinjawadi) Ph-2,0,7310.0,Resedential 1
RO PUNE-II (IT),Rajiv Gandhi Infotech Park (Hinjawadi) Ph-1,0,7310.0,Resedential 1
RO PUNE-II (IT),Rajiv Gandhi Infotech Park (Hinjawadi) Ph-3,0,7310.0,Resedential 1
RO PUNE-II (IT),IIA Talegaon,0,,Resedential 1
